timestamp,entry_price,result,exit_time,exit_price,gross_roi,net_roi
2025-05-30 12:52:00,1060.0,SL,2025-05-30 12:53:00,1057.88,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 12:54:00,1063.0,TP,2025-05-30 12:55:00,1065.126,0.0020000000000000018,0.0010000000000000018
2025-05-30 12:56:00,1070.0,SL,2025-05-30 12:57:00,1067.86,-0.002000000000000113,-0.003000000000000113
2025-05-30 12:58:00,1070.0,SL,2025-05-30 12:59:00,1067.86,-0.002000000000000113,-0.003000000000000113
2025-05-30 13:00:00,1063.0,TP,2025-05-30 13:01:00,1065.126,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:02:00,1067.0,TP,2025-05-30 13:03:00,1069.134,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:04:00,1074.0,SL,2025-05-30 13:06:00,1071.852,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 13:07:00,1067.0,TP,2025-05-30 13:08:00,1069.134,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:09:00,1064.0,TP,2025-05-30 13:10:00,1066.128,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:12:00,1059.0,SL,2025-05-30 13:13:00,1056.882,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 13:14:00,1050.0,SL,2025-05-30 13:15:00,1047.9,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 13:17:00,1050.0,TP,2025-05-30 13:18:00,1052.1,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:22:00,1044.0,TP,2025-05-30 13:23:00,1046.088,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:24:00,1048.0,TP,2025-05-30 13:25:00,1050.096,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:26:00,1052.0,TP,2025-05-30 13:29:00,1054.104,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:30:00,1052.0,SL,2025-05-30 13:31:00,1049.896,-0.0020000000000000018,-0.003000000000000002
2025-05-30 13:32:00,1048.0,TP,2025-05-30 13:33:00,1050.096,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:36:00,1045.0,SL,2025-05-30 13:37:00,1042.91,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 13:38:00,1040.0,TP,2025-05-30 13:39:00,1042.08,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:40:00,1042.0,TP,2025-05-30 13:41:00,1044.084,0.0020000000000000018,0.0010000000000000018
2025-05-30 13:42:00,1043.0,SL,2025-05-30 13:45:00,1040.914,-0.0020000000000000018,-0.003000000000000002
2025-05-30 13:46:00,1040.0,SL,2025-05-30 13:47:00,1037.92,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 13:51:00,1040.0,TP,2025-05-30 13:59:00,1042.08,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:00:00,1045.0,TP,2025-05-30 14:01:00,1047.09,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:02:00,1046.0,TP,2025-05-30 14:04:00,1048.092,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:05:00,1058.0,TP,2025-05-30 14:06:00,1060.116,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:09:00,1060.0,TP,2025-05-30 14:10:00,1062.12,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:11:00,1062.0,SL,2025-05-30 14:12:00,1059.876,-0.0020000000000000018,-0.003000000000000002
2025-05-30 14:13:00,1059.0,TP,2025-05-30 14:14:00,1061.118,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:15:00,1061.0,SL,2025-05-30 14:16:00,1058.878,-0.002000000000000113,-0.003000000000000113
2025-05-30 14:17:00,1056.0,TP,2025-05-30 14:18:00,1058.112,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:19:00,1059.0,TP,2025-05-30 14:20:00,1061.118,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:21:00,1058.0,TP,2025-05-30 14:22:00,1060.116,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:23:00,1058.0,TP,2025-05-30 14:24:00,1060.116,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:27:00,1060.0,SL,2025-05-30 14:28:00,1057.88,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 14:30:00,1062.0,SL,2025-05-30 14:31:00,1059.876,-0.0020000000000000018,-0.003000000000000002
2025-05-30 14:32:00,1067.0,TP,2025-05-30 14:34:00,1069.134,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:35:00,1069.0,SL,2025-05-30 14:36:00,1066.862,-0.0019999999999998908,-0.0029999999999998908
2025-05-30 14:38:00,1075.0,SL,2025-05-30 14:39:00,1072.85,-0.002000000000000113,-0.003000000000000113
2025-05-30 14:41:00,1070.0,SL,2025-05-30 14:42:00,1067.86,-0.002000000000000113,-0.003000000000000113
2025-05-30 14:44:00,1061.0,TP,2025-05-30 14:45:00,1063.122,0.0020000000000000018,0.0010000000000000018
2025-05-30 14:46:00,1066.0,SL,2025-05-30 14:47:00,1063.868,-0.002000000000000113,-0.003000000000000113
