2025-06-01 10:31:12,166 [F3] [F3] Order API response: {'uuid': '1d7801e6-c487-49cc-88b3-6132c2964de9', 'side': 'ask', 'ord_type': 'limit', 'price': 1186.75, 'state': 'wait', 'market': 'KRW-ONDO', 'created_at': '2025-06-01T10:31:12+09:00', 'volume': '25.53191487', 'remaining_volume': '25.53191487', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '0', 'locked': '25.53191487', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748741472.1666143, 'symbol': 'KRW-ONDO', 'qty': 25.53191487, 'order_type': 'limit'}
2025-06-01 10:51:30,019 [F3] [F3] Order API response: {'uuid': 'b2d0d455-70c9-4ceb-a8ef-89acec2cf43f', 'side': 'bid', 'ord_type': 'price', 'price': 1141.0, 'state': 'wait', 'market': 'KRW-ME', 'created_at': '2025-06-01T10:51:30+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742690.019526, 'symbol': 'KRW-ME', 'qty': 8.76424189307625, 'order_type': 'market'}
2025-06-01 10:51:33,157 [F3] [F3] Order API response: {'uuid': '819f7882-7df0-4dde-bdda-5a6222d0fc03', 'side': 'bid', 'ord_type': 'price', 'price': 1141.0, 'state': 'wait', 'market': 'KRW-ME', 'created_at': '2025-06-01T10:51:33+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742693.157771, 'symbol': 'KRW-ME', 'qty': 8.76424189307625, 'order_type': 'market'}
2025-06-01 10:51:36,305 [F3] [F3] Order API response: {'uuid': '8aa6f596-a8b7-499b-b7f6-86ef06c85abb', 'side': 'bid', 'ord_type': 'price', 'price': 1141.0, 'state': 'wait', 'market': 'KRW-ME', 'created_at': '2025-06-01T10:51:36+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742696.3051145, 'symbol': 'KRW-ME', 'qty': 8.76424189307625, 'order_type': 'market'}
2025-06-01 10:51:36,309 [F3] [F3] Open position: {'symbol': 'KRW-ME', 'entry_time': 1748742696.3086276, 'entry_price': 1141.0, 'qty': 8.76424189307625, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:51:37,907 [F3] [F3] Order API response: {'uuid': '4b36ee90-8860-4d52-9624-d87241e21050', 'side': 'bid', 'ord_type': 'price', 'price': 3211.0, 'state': 'wait', 'market': 'KRW-ZRO', 'created_at': '2025-06-01T10:51:37+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742697.9072292, 'symbol': 'KRW-ZRO', 'qty': 3.114294612270321, 'order_type': 'market'}
2025-06-01 10:51:41,039 [F3] [F3] Order API response: {'uuid': '0199564a-5680-4911-a29f-cb01571554e3', 'side': 'bid', 'ord_type': 'price', 'price': 3211.0, 'state': 'wait', 'market': 'KRW-ZRO', 'created_at': '2025-06-01T10:51:41+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742701.0397503, 'symbol': 'KRW-ZRO', 'qty': 3.114294612270321, 'order_type': 'market'}
2025-06-01 10:51:44,179 [F3] [F3] Order API response: {'uuid': 'e2164061-6b7c-41ed-b277-e88b4ffe0c05', 'side': 'bid', 'ord_type': 'price', 'price': 3211.0, 'state': 'wait', 'market': 'KRW-ZRO', 'created_at': '2025-06-01T10:51:44+09:00', 'reserved_fee': '5', 'remaining_fee': '5', 'paid_fee': '0', 'locked': '10005', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742704.1780772, 'symbol': 'KRW-ZRO', 'qty': 3.114294612270321, 'order_type': 'market'}
2025-06-01 10:51:44,196 [F3] [F3] Open position: {'symbol': 'KRW-ZRO', 'entry_time': 1748742704.1963894, 'entry_price': 3211.0, 'qty': 3.114294612270321, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:51:51,618 [F3] [F3] Open position: {'symbol': 'KRW-AUCTION', 'entry_time': 1748742711.6172948, 'entry_price': 14650.0, 'qty': 0.6825938566552902, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:51:59,218 [F3] [F3] Open position: {'symbol': 'KRW-RENDER', 'entry_time': 1748742719.2172322, 'entry_price': 5465.0, 'qty': 1.829826166514181, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:52:06,665 [F3] [F3] Open position: {'symbol': 'KRW-THETA', 'entry_time': 1748742726.6651816, 'entry_price': 1060.0, 'qty': 9.433962264150944, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:52:14,101 [F3] [F3] Open position: {'symbol': 'KRW-XTZ', 'entry_time': 1748742734.1012406, 'entry_price': 800.7, 'qty': 12.489072061945796, 'pyramid_count': 0, 'avgdown_count': 0, 'status': 'pending', 'origin': 'trade'}
2025-06-01 10:52:14,682 [F3] [F3] Order API response: {'uuid': 'e5cadb73-3de4-4d41-b35b-f423b5c49823', 'side': 'ask', 'ord_type': 'limit', 'price': 1152.41, 'state': 'wait', 'market': 'KRW-ME', 'created_at': '2025-06-01T10:52:14+09:00', 'volume': '26.22377622', 'remaining_volume': '26.22377622', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '0', 'locked': '26.22377622', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742734.6826172, 'symbol': 'KRW-ME', 'qty': 26.22377622, 'order_type': 'limit'}
2025-06-01 10:52:14,810 [F3] [F3] Order API response: {'uuid': '9e904255-dc7b-4d1b-9052-9bc51ad6bce0', 'side': 'ask', 'ord_type': 'limit', 'price': 3243.11, 'state': 'wait', 'market': 'KRW-ZRO', 'created_at': '2025-06-01T10:52:14+09:00', 'volume': '9.34870674', 'remaining_volume': '9.34870674', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '0', 'locked': '9.34870674', 'executed_volume': '0', 'trades_count': 0, 'filled': False, 'timestamp': 1748742734.8106356, 'symbol': 'KRW-ZRO', 'qty': 9.34870674, 'order_type': 'limit'}
